label,diff,lo,hi,lo_pat,hi_pat,seed_diff_mean,seed_diff_sd,seed_t_lo,seed_t_hi,n_seed_pairs,protocol,fm_a,fm_b,excludes_zero
CTransPath_vs_ResNet50,0.2065093572009764,0.15023721799086234,0.2681270076507774,0.18308148063643756,0.22998787277400207,0.2065093572009764,0.060936740843045206,0.13084639992829428,0.28217231447365854,5,sgd,CTransPath,ResNet50,True
CTransPath_vs_UNI_v2,-0.09129373474369407,-0.1335649239366437,-0.048873223578863055,-0.10656777059756305,-0.076541276215975,-0.09129373474369407,0.06370155201780943,-0.17038965851391236,-0.012197810973475762,5,sgd,CTransPath,UNI_v2,True
CTransPath_vs_Virchow2,-0.06509357200976396,-0.11464789664583908,-0.014583690583454838,-0.08064925741463642,-0.05023848371403965,-0.06509357200976404,0.05013155996989213,-0.12734012519817206,-0.002847018821356004,5,sgd,CTransPath,Virchow2,True
Conch_v15_vs_Midnight12k,0.03368592351505284,0.01334752235640589,0.055609727443609154,0.01445534420215681,0.05382551224004289,0.03368592351505286,0.008506642824205117,0.023123531374658977,0.04424831565544675,5,sgd,Conch_v15,Midnight12k,True
Conch_v15_vs_Phikon_v2,-0.03336045565500412,-0.04806370611485698,-0.018014655344433906,-0.04693045689843438,-0.020078297592701824,-0.0333604556550041,0.007163066257794552,-0.042254577144055755,-0.02446633416595244,5,sgd,Conch_v15,Phikon_v2,True
Conch_v15_vs_ResNet50,0.28234336859235143,0.23750780063886287,0.33187380625904134,0.2555535571542769,0.3093396614703915,0.2823433685923515,0.04348757906122968,0.22834640730298275,0.33634032988172025,5,sgd,Conch_v15,ResNet50,True
Conch_v15_vs_UNI_v2,-0.015459723352319044,-0.03424656326073673,0.0053174043871718965,-0.027901183983527218,-0.0026515388470921,-0.015459723352318998,0.017677429603255038,-0.03740915127146223,0.006489704566824232,5,sgd,Conch_v15,UNI_v2,False
Conch_v15_vs_Virchow2,0.010740439381611067,-0.01856592031047351,0.04540182278481008,-0.002365989762766249,0.024154589371980673,0.010740439381611021,0.03403046249373377,-0.03151396073908168,0.05299483950230373,5,sgd,Conch_v15,Virchow2,False
Midnight12k_vs_Phikon_v2,-0.06704637917005696,-0.08892407640291915,-0.045909843643413814,-0.08707404754873528,-0.04774658842037592,-0.06704637917005696,0.0016872612980738614,-0.06914139077943782,-0.0649513675606761,5,sgd,Midnight12k,Phikon_v2,True
Midnight12k_vs_ResNet50,0.2486574450772986,0.20320005439505398,0.29829847310865343,0.2230631244647447,0.27431831529769435,0.24865744507729862,0.04984548511625909,0.18676610073543815,0.3105487894191591,5,sgd,Midnight12k,ResNet50,True
