grid,fm,key,algorithm,optimizer,lr,seed,checkpoint_dtype,acc_json,acc_archived,acc_checkpoint,n_diff_vs_archived,n_diff_vs_json,shift_vs_archived_pp,shift_vs_json_pp
sgd,UNI_v2,5feb19268557,FedProx,sgd,0.1,0,torch.float16,0.7632221318144833,0.7624084621643613,0.7632221318144833,3,0,0.08136696501219731,0.0
sgd,UNI_v2,60f100dce9d6,SCAFFOLD,sgd,0.003,0,torch.float16,0.8519121236777868,0.8519121236777868,0.8519121236777868,0,0,0.0,0.0
sgd,UNI_v2,65f26d812bf2,FedAvg,sgd,0.03,3,torch.float16,0.9471114727420668,0.9471114727420668,0.9471114727420668,0,0,0.0,0.0
sgd,UNI_v2,66ae729adc05,SCAFFOLD,sgd,0.1,0,torch.float16,0.5703824247355573,0.5703824247355573,0.5703824247355573,2,0,0.0,0.0
sgd,UNI_v2,68be14540dea,FedProx,sgd,0.03,1,torch.float16,0.935720097640358,0.935720097640358,0.935720097640358,0,0,0.0,0.0
sgd,UNI_v2,6fac89b4a80a,FedAvg,sgd,0.01,4,torch.float16,0.9308380797396257,0.9308380797396257,0.9308380797396257,0,0,0.0,0.0
sgd,UNI_v2,72a8daacb085,FedProx,sgd,0.003,4,torch.float16,0.870626525630594,0.870626525630594,0.870626525630594,0,0,0.0,0.0
sgd,UNI_v2,79953b63185c,FedAvg,sgd,0.003,1,torch.float16,0.8795768917819365,0.8795768917819365,0.8795768917819365,0,0,0.0,0.0
sgd,UNI_v2,7d3e907942b3,FedAvg,sgd,0.003,0,torch.float16,0.8901545972335232,0.8901545972335232,0.8901545972335232,0,0,0.0,0.0
sgd,UNI_v2,8ec54c589cd1,SCAFFOLD,sgd,0.01,0,torch.float16,0.9161920260374288,0.9161920260374288,0.9161920260374288,0,0,0.0,0.0
sgd,UNI_v2,929b139121b4,SCAFFOLD,sgd,0.03,0,torch.float16,0.7217249796582588,0.7217249796582588,0.7217249796582588,0,0,0.0,0.0
sgd,UNI_v2,9feb11fbb2ff,FedProx,sgd,0.03,4,torch.float16,0.8852725793327909,0.8852725793327909,0.8852725793327909,0,0,0.0,0.0
sgd,UNI_v2,a302ebe9c700,FedProx,sgd,0.1,1,torch.float16,0.7648494711147275,0.7656631407648494,0.7648494711147275,1,0,-0.08136696501219731,0.0
sgd,UNI_v2,a32e4884b0e0,FedAvg,sgd,0.1,2,torch.float16,0.7697314890154597,0.7697314890154597,0.7697314890154597,0,0,0.0,0.0
sgd,UNI_v2,a3a4f5ba13cc,FedAvg,sgd,0.03,0,torch.float16,0.9259560618388935,0.9259560618388935,0.9259560618388935,0,0,0.0,0.0
sgd,UNI_v2,a7c42613be06,FedProx,sgd,0.1,4,torch.float16,0.7957689178193653,0.7957689178193653,0.7949552481692432,1,1,-0.08136696501220841,-0.08136696501220841
sgd,UNI_v2,b42d7ee4b9ad,FedAvg,sgd,0.003,2,torch.float16,0.8763222131814483,0.8763222131814483,0.8763222131814483,0,0,0.0,0.0
sgd,UNI_v2,b93855405766,FedAvg,sgd,0.1,1,torch.float16,0.772986167615948,0.772986167615948,0.772986167615948,0,0,0.0,0.0
sgd,UNI_v2,be7611d84efb,FedAvg,sgd,0.1,4,torch.float16,0.7558991049633849,0.7558991049633849,0.7558991049633849,0,0,0.0,0.0
sgd,UNI_v2,c57ab2121f22,SCAFFOLD,sgd,0.01,3,torch.float16,0.9007323026851098,0.9007323026851098,0.9007323026851098,0,0,0.0,0.0
