cancer,fm,mode,lr,n,val,c,c_sd,c_slide,best_round
COAD,UNI_v2,central,0.001,5,0.8347305389221557,0.5419718309859155,0.01726142388715893,0.5273103163117635,41.4
COAD,UNI_v2,central_strat,0.001,5,0.7580838323353294,0.42788732394366197,0.005862438137540106,0.41215629522431263,49.6
COAD,UNI_v2,fl,0.0003,5,0.7844311377245509,0.4847887323943662,0.004329697506743494,0.45631589828406033,153.8
COAD,Virchow2,central,0.001,5,0.792814371257485,0.6219718309859156,0.019217740844904477,0.6076493694438702,80.8
COAD,Virchow2,central_strat,0.001,5,0.725748502994012,0.45577464788732397,0.00960951555122009,0.43866032664874927,48.4
COAD,Virchow2,fl,0.001,5,0.7137724550898203,0.4701408450704225,0.003093786286829402,0.4437461236303494,75.2
STAD,CTransPath,central,0.0003,5,0.6584717607973423,0.6078026391279403,0.002970092737933424,0.6109988776655444,56.6
STAD,CTransPath,central_strat,0.001,5,0.6332225913621262,0.6165232358003443,0.0070102340305707,0.6054433221099889,38.6
STAD,CTransPath,fl,0.001,5,0.6106312292358804,0.6030981067125646,0.004858052353417473,0.5904040404040404,79.8
STAD,Conch_v15,central,0.001,5,0.6544850498338871,0.6121629374641422,0.026493975648924445,0.6117845117845118,97.8
STAD,Conch_v15,central_strat,0.001,5,0.693687707641196,0.5967871485943774,0.02767405551497271,0.5968294051627385,89.8
STAD,Conch_v15,fl,0.001,5,0.6691029900332226,0.619162363740677,0.012644063394451314,0.6157126823793491,86.4
STAD,Midnight12k,central,0.001,5,0.5435215946843854,0.5232358003442341,0.01680040213923844,0.5389450056116722,81.8
STAD,Midnight12k,central_strat,0.001,5,0.4980066445182724,0.5289156626506024,0.0133358314132032,0.5471380471380471,142.6
STAD,Midnight12k,fl,0.0001,5,0.467109634551495,0.5483648881239243,0.034005882504314376,0.5787878787878787,40.0
STAD,Phikon_v2,central,0.001,5,0.6671096345514951,0.5219736087205967,0.005842409463270618,0.5067340067340067,184.0
STAD,Phikon_v2,central_strat,0.001,5,0.6352159468438539,0.5491681009753299,0.0019624361877782206,0.5315375982042648,164.8
STAD,Phikon_v2,fl,0.001,5,0.6066445182724253,0.5559380378657488,0.017072491126066024,0.5361952861952861,117.8
STAD,ResNet50,central,0.001,5,0.6458471760797342,0.5472174411933448,0.004145127221615239,0.5496632996632996,104.6
STAD,ResNet50,central_strat,0.001,5,0.5980066445182725,0.5569707401032702,0.004281837787044221,0.5658810325476992,104.0
STAD,ResNet50,fl,0.001,5,0.5940199335548173,0.5586919104991395,0.0013082907918521463,0.5639730639730639,177.4
STAD,UNI_v2,central,0.001,5,0.6312292358803987,0.6013769363166954,0.016198927358880823,0.5920314253647587,130.0
STAD,UNI_v2,central_strat,0.0003,5,0.5966777408637873,0.542512908777969,0.010339763925249627,0.5289562289562288,217.2
STAD,UNI_v2,fl,0.001,5,0.5880398671096346,0.6025243832472749,0.03640635924542152,0.5873737373737373,142.2
STAD,Virchow2,central,0.001,5,0.5863787375415282,0.6064830751577739,0.016966604445777255,0.5963804713804713,163.4
STAD,Virchow2,central_strat,0.001,5,0.5780730897009967,0.5818129661503155,0.03762943699272903,0.5875982042648709,110.8
STAD,Virchow2,fl,0.001,5,0.5249169435215947,0.5874928284566838,0.03992018828490631,0.5815375982042649,79.6
BRCA,CTransPath,central_legacy,0.0003,5,-1.0,0.5594974331261822,0.01792988275194135,0.5653949903660886,300.0
BRCA,CTransPath,fl_legacy_restore,0.0003,5,-1.0,0.5561199675763306,0.015050495830003984,0.5144765574823379,1.0
BRCA,Conch_v15,central_legacy,0.0003,5,-1.0,0.6621994055660633,0.06894032511275693,0.6454720616570327,300.0
BRCA,Conch_v15,fl_legacy_restore,0.0003,5,-1.0,0.5583896244258308,0.050639678058361774,0.5369043031470777,1.0
BRCA,Midnight12k,central_legacy,0.0003,5,-1.0,0.6143744933801675,0.01855863691230809,0.6114193962748876,300.0
BRCA,Midnight12k,fl_legacy_restore,0.0003,5,-1.0,0.5343420697108889,0.014089950787933856,0.506897880539499,1.0
BRCA,Phikon_v2,central_legacy,0.0003,5,-1.0,0.642637125101324,0.007516147211155277,0.6350417469492614,300.0
BRCA,Phikon_v2,fl_legacy_restore,0.0003,5,-1.0,0.58340988921913,0.024408698407760953,0.5559152215799614,1.0
BRCA,ResNet50,central_legacy,0.0003,5,-1.0,0.5920021615779519,0.007521972930059449,0.602466281310212,300.0
BRCA,ResNet50,fl_legacy_restore,0.0003,5,-1.0,0.5630910564712239,0.008987866727089877,0.5496467565831729,1.0
BRCA,UNI_v2,central_legacy,0.0003,5,-1.0,0.6624966225344502,0.01517543042426782,0.6476043673731535,300.0
BRCA,UNI_v2,fl_legacy_restore,0.0003,5,-1.0,0.5700621453661172,0.027837791458333344,0.5408863198458574,1.0
BRCA,Virchow2,central_legacy,0.0003,5,-1.0,0.59886517157525,0.021873130284258007,0.6060757867694284,300.0
BRCA,Virchow2,fl_legacy_restore,0.0003,5,-1.0,0.5805457984328559,0.02703431111263657,0.5512138728323699,1.0
COAD,CTransPath,central_legacy,0.0003,5,-1.0,0.4905633802816901,0.024111878030759114,0.4856729377713459,300.0
COAD,CTransPath,fl_legacy_restore,0.0003,5,-1.0,0.526338028169014,0.04421110831894988,0.5147818896009924,1.0
COAD,Conch_v15,central_legacy,0.0003,5,-1.0,0.6392253521126761,0.03363146121558416,0.6313210667769278,300.0
COAD,Conch_v15,fl_legacy_restore,0.0003,5,-1.0,0.6080281690140845,0.02747652331474239,0.5938805044449038,1.0
COAD,Midnight12k,central_legacy,0.0003,5,-1.0,0.5936619718309859,0.011101325894672113,0.5729170973744055,300.0
COAD,Midnight12k,fl_legacy_restore,0.0003,5,-1.0,0.5497183098591549,0.023476173624126954,0.545627455034112,1.0
COAD,Phikon_v2,central_legacy,0.0003,5,-1.0,0.5283098591549296,0.014648902998373054,0.5212321686996072,300.0
COAD,Phikon_v2,fl_legacy_restore,0.0003,5,-1.0,0.5252112676056339,0.022299604628645994,0.5048583832954311,1.0
COAD,ResNet50,central_legacy,0.0003,5,-1.0,0.5207042253521126,0.004033189031908834,0.5025015505478603,300.0
COAD,ResNet50,fl_legacy_restore,0.0003,5,-1.0,0.5535211267605634,0.04561728095972297,0.5454207153194128,1.0
COAD,UNI_v2,central_legacy,0.0003,5,-1.0,0.5742253521126761,0.0333322587937629,0.56154641306595,300.0
COAD,UNI_v2,fl_legacy_restore,0.0003,5,-1.0,0.5133802816901408,0.02179119499544475,0.49481083316105023,1.0
COAD,Virchow2,central_legacy,0.0003,5,-1.0,0.5784507042253522,0.010236733664980844,0.5647922265867272,300.0
COAD,Virchow2,fl_legacy_restore,0.0003,5,-1.0,0.5383098591549296,0.0406430165061124,0.5096133967335125,1.0
STAD,CTransPath,central_legacy,0.0003,5,-1.0,0.5930005737234654,0.019893400975260694,0.58493265993266,300.0
STAD,CTransPath,fl_legacy_restore,0.0003,5,-1.0,0.5115318416523236,0.027137180555437262,0.5306397306397306,1.0
STAD,Conch_v15,central_legacy,0.0003,5,-1.0,0.519162363740677,0.027756300103910347,0.5138327721661055,300.0
STAD,Conch_v15,fl_legacy_restore,0.0003,5,-1.0,0.5173838209982788,0.0265231557544447,0.5332210998877664,1.0
STAD,Midnight12k,central_legacy,0.0003,5,-1.0,0.5343086632243259,0.012792875485639683,0.5442480359147026,300.0
STAD,Midnight12k,fl_legacy_restore,0.0003,5,-1.0,0.5301204819277109,0.02835726530409042,0.5601571268237935,1.0
STAD,Phikon_v2,central_legacy,0.0003,5,-1.0,0.5518072289156627,0.018203405652295928,0.5315095398428731,300.0
STAD,Phikon_v2,fl_legacy_restore,0.0003,5,-1.0,0.5394148020654045,0.034750312365089256,0.5571829405162738,1.0
STAD,ResNet50,central_legacy,0.0003,5,-1.0,0.5471026965002869,0.013513593134078981,0.544668911335578,300.0
STAD,ResNet50,fl_legacy_restore,0.0003,5,-1.0,0.4812392426850258,0.03231596411400631,0.5065095398428732,1.0
STAD,UNI_v2,central_legacy,0.0003,5,-1.0,0.6091222030981067,0.015294869316647225,0.6025813692480358,300.0
STAD,UNI_v2,fl_legacy_restore,0.0003,5,-1.0,0.5173838209982788,0.02620792401423698,0.5438271604938272,1.0
STAD,Virchow2,central_legacy,0.0003,5,-1.0,0.5888123924268502,0.018436976469103153,0.5879349046015714,300.0
STAD,Virchow2,fl_legacy_restore,0.0003,5,-1.0,0.4865174985656913,0.024862821204842737,0.5102693602693603,1.0
