setting,fm,BRCA,COAD,STAD,LGG,LUAD,HNSC,SKCM,CESC,PAAD,BRCA_sd,COAD_sd,STAD_sd,LGG_sd,LUAD_sd,HNSC_sd,SKCM_sd,CESC_sd,PAAD_sd
SCAFFOLD-adam,CTransPath,0.6341040462427746,0.2831578947368421,0.0,0.697,0.35,0.0,0.0,0.0,0.0,0.46944904412004756,0.3007009355349247,0.0,0.4489376348670269,0.48733971724044817,0.0,0.0,0.0,0.0
SCAFFOLD-adam,Midnight12k,0.9757225433526011,0.19052631578947368,0.0,0.7969999999999999,0.9583333333333334,0.6520833333333333,0.0,0.2,0.0,0.02281223960771224,0.2830483059308158,0.0,0.4455838866027361,0.03584302194601094,0.3870040509047246,0.0,0.4039801975344831,0.0
SCAFFOLD-adam,ResNet50,0.7687861271676301,0.0,0.0,0.36100000000000004,0.16166666666666668,0.0,0.0,0.0,0.0,0.43222830822922215,0.0,0.0,0.499104197537949,0.36149765636246606,0.0,0.0,0.0,0.0
FedAvg-sgd,UNI_v2,0.9647398843930637,0.873684210526316,0.7633587786259541,1.0,0.9916666666666668,0.9208333333333332,0.989090909090909,0.96,0.9268292682926829,0.015617637093764514,0.046184023091537484,0.07728418599739156,0.0,1.2412670766236366e-16,0.023980967569211125,0.016262312563634838,0.03464101615137753,0.04878048780487803
FedAvg-sgd,Virchow2,0.9722543352601155,0.7926315789473684,0.6977099236641221,1.0,0.9783333333333335,0.8541666666666666,0.9818181818181818,0.952,0.878048780487805,0.013950888307684576,0.04745605927936781,0.21117600077661114,0.0,0.018257418583505533,0.07179192058380324,0.012856486930664506,0.03346640106136301,0.19127301391900145
FedAvg-sgd,Phikon_v2,0.9832369942196533,0.8863157894736842,0.8076335877862595,1.0,1.0,0.9645833333333333,0.9818181818181818,0.968,0.9804878048780488,0.006265746644126821,0.036197366029577654,0.0363698603040354,0.0,0.0,0.009316949906249091,0.0,0.010954451150103331,0.01090764867073069
FedAvg-sgd,Conch_v15,0.983815028901734,0.8694736842105263,0.6167938931297711,1.0,0.9866666666666667,0.8958333333333334,0.9818181818181818,0.9,0.9463414634146341,0.002585049684970835,0.039979218978595674,0.06771986295028055,0.0,0.004564354645876429,0.03827327723098714,0.0,0.07071067811865472,0.040077260305256046
FedAvg-sgd,CTransPath,0.9369942196531792,0.803157894736842,0.5740458015267176,0.985,0.9483333333333335,0.60625,0.8400000000000001,0.74,0.7609756097560976,0.028347282856044452,0.0344324783869392,0.11442745545376024,0.009354143466934863,0.051166938110029175,0.24588629373034285,0.05662695091780883,0.09899494936611665,0.3720611592820218
FedAvg-sgd,Midnight12k,0.9670520231213873,0.7231578947368422,0.5465648854961832,1.0,0.985,0.89375,0.9527272727272728,0.944,0.975609756097561,0.0139508883076846,0.04459730560908391,0.04785474204170225,0.0,0.0037267799624996854,0.027950849718747367,0.02757409252382383,0.008944271909999166,0.0
FedAvg-sgd,ResNet50,0.9364161849710981,0.52,0.1618320610687023,0.959,0.3916666666666667,0.6854166666666667,0.13090909090909092,0.27999999999999997,0.28780487804878047,0.05080461222903741,0.08833642566757492,0.17351935917602188,0.010246950765959608,0.2565123995270231,0.2010983296659732,0.20303482582027096,0.30951575081084326,0.31913028748870487
SCAFFOLD-sgd,UNI_v2,0.9658959537572255,0.8410526315789475,0.5725190839694656,1.0,0.9916666666666668,0.9395833333333334,0.9527272727272728,0.9039999999999999,0.878048780487805,0.003768325089712548,0.03188448680181255,0.09908973271562722,0.0,1.2412670766236366e-16,0.018633899812498272,0.009958591954639388,0.06693280212272605,0.024390243902439046
