optimizer,fm,algorithm,rho,p,acc_<15,n_<15,acc_15-29,n_15-29,acc_30-59,n_30-59,acc_>=60,n_>=60
adam,UNI_v2,FedAvg,0.24321344691649008,0.0115930654287029,0.7201798941798941,45,0.7909730848861283,23,0.8512245873784334,26,0.8946818613485281,13
adam,UNI_v2,FedBN,0.43541250702785633,2.771203049254886e-06,0.17172486772486772,45,0.23004611330698288,23,0.34073290836865494,26,0.5069052832806755,13
adam,UNI_v2,FedProx,0.14737613236988398,0.12981051119883638,0.7586666666666664,45,0.7902139406487231,23,0.862969466431005,26,0.9053209626630679,13
adam,UNI_v2,SCAFFOLD,0.28637608748949517,0.0027861283340929535,0.40635978835978837,45,0.4690993788819876,23,0.6171129122260344,26,0.6793404867862484,13
adam,Virchow2,FedAvg,-0.02537310030844357,0.7953108840423893,0.8564444444444445,45,0.8985507246376813,23,0.8559522604092741,26,0.9190717332784458,13
adam,Virchow2,FedBN,0.4248245957064476,5.096482507825139e-06,0.16038095238095243,45,0.1870609824957651,23,0.37814718380329243,26,0.5028981435155674,13
adam,Virchow2,FedProx,-0.07709797094652172,0.4299271619132403,0.8694814814814816,45,0.9043823326432022,23,0.8830852480852482,26,0.938367863949481,13
adam,Virchow2,SCAFFOLD,0.23916030063454433,0.01310322101125912,0.5188888888888887,45,0.6253416149068323,23,0.6194248955334929,26,0.7322358352867913,13
sgd,CTransPath,FedAvg,0.03946072592559039,0.6865452594707101,0.7944444444444444,45,0.8474568668046929,23,0.8273933783662292,26,0.8656533872649714,13
sgd,CTransPath,FedBN,-0.018768755978198347,0.8478345802624272,0.9865185185185185,45,0.9823935002195872,23,0.9888913081220773,26,0.9962438146648673,13
sgd,CTransPath,FedProx,0.12222182026940002,0.20979454523350538,0.7696190476190475,45,0.8477639751552795,23,0.8290023023733433,26,0.86651848820635,13
sgd,CTransPath,SCAFFOLD,0.028234146515107635,0.7728235997096872,0.8252592592592591,45,0.8863492063492064,23,0.8389677291034757,26,0.8965231326962455,13
sgd,Conch_v15,FedAvg,-0.15274483253504084,0.11625733964197799,0.9305185185185185,45,0.9282160110420979,23,0.89558770540671,26,0.9440944776471092,13
sgd,Conch_v15,FedBN,0.17150871497407075,0.07733291089383677,0.9743280423280422,45,0.9799253403601231,23,0.9921628731583483,26,0.9975579975579976,13
sgd,Conch_v15,FedProx,-0.22407333085402548,0.020330407175576666,0.9254074074074073,45,0.9219565217391306,23,0.8899136007280803,26,0.9412008492679735,13
sgd,Conch_v15,SCAFFOLD,-0.09757145199243547,0.3173974336221147,0.9076296296296298,45,0.9243478260869564,23,0.8629361563524459,26,0.9383704523292624,13
sgd,Midnight12k,FedAvg,-0.09592495072949278,0.32567160421712654,0.9057777777777777,45,0.9063250517598346,23,0.8672670290996085,26,0.914339464882943,13
sgd,Midnight12k,FedBN,-0.05809610390825678,0.5522481773576462,0.8651322751322751,45,0.886082878474183,23,0.8504857343092638,26,0.8627845722432135,13
sgd,Midnight12k,FedProx,-0.09754364613605372,0.3175360287844468,0.906,45,0.9059523809523811,23,0.8675915411888263,26,0.9147626863206574,13
sgd,Midnight12k,SCAFFOLD,-0.04300737343146315,0.6600456846231146,0.880148148148148,45,0.8984472049689441,23,0.84197336851183,26,0.8986477947004263,13
sgd,Phikon_v2,FedAvg,-0.06720720720214161,0.49157271995312596,0.9444444444444444,45,0.9574948240165632,23,0.9417608032992647,26,0.9638464930131596,13
sgd,Phikon_v2,FedBN,0.23584292418862407,0.014464092621001595,0.9421481481481481,45,0.9461816927034319,23,0.9879810360579593,26,0.9965867176301959,13
sgd,Phikon_v2,FedProx,-0.06264205574065007,0.5215268186030031,0.9444444444444444,45,0.9562525879917184,23,0.9421104536489152,26,0.9635259801926469,13
sgd,Phikon_v2,SCAFFOLD,-0.17065974605040196,0.0788324916423646,0.9518518518518517,45,0.9371946169772256,23,0.930127308588847,26,0.9400301858635192,13
sgd,ResNet50,FedAvg,0.2234009722750285,0.020719898891164264,0.49949206349206343,45,0.5296652864044168,23,0.6514981047107745,26,0.6899299135257858,13
sgd,ResNet50,FedBN,-0.5385255016664188,2.1898944867506816e-09,1.0,45,1.0,23,0.985299814145968,26,0.9898322926554161,13
sgd,ResNet50,FedProx,0.23774429465387792,0.013669812839163945,0.4535873015873016,45,0.48080055210489997,23,0.6240636713713636,26,0.6728331053788033,13
sgd,ResNet50,SCAFFOLD,0.23747225599652333,0.013781073858132839,0.45577777777777784,45,0.4944024091850178,23,0.6089757962834885,26,0.6439162533770955,13
sgd,UNI_v2,FedAvg,-0.11696176698714059,0.2302269879423404,0.9273333333333332,45,0.95175983436853,23,0.9218596863167,26,0.952141986019179,13
sgd,UNI_v2,FedBN,0.02596148896614271,0.7906718829817644,0.9867724867724867,45,0.9833926218708827,23,0.9958818958818958,26,0.9985958485958487,13
sgd,UNI_v2,FedProx,-0.09902327333629961,0.31021531184183765,0.9217777777777777,45,0.9387163561076605,23,0.9136694929002621,26,0.9383659147869674,13
sgd,UNI_v2,SCAFFOLD,-0.06941157047082681,0.4774418003449441,0.8986666666666666,45,0.937232574189096,23,0.8950730466115082,26,0.9266290726817042,13
sgd,Virchow2,FedAvg,-0.14048360643582725,0.14894347095037064,0.903037037037037,45,0.9339717046238786,23,0.8974431551354628,26,0.920707659151595,13
sgd,Virchow2,FedBN,0.28914160482189855,0.0025229949577599423,0.9765291005291006,45,0.9744303281259804,23,0.9976754015215553,26,0.9991452991452991,13
sgd,Virchow2,FedProx,-0.1090928032492107,0.26333108588600124,0.8780000000000001,45,0.9185610766045549,23,0.8886157582990163,26,0.916981128758992,13
sgd,Virchow2,SCAFFOLD,-0.08105791765636705,0.4065453932709647,0.9097777777777779,45,0.949896480331263,23,0.888525406217714,26,0.9073517126148706,13
