grid,fm,key,kind,algorithm,optimizer,lr,mu,k,sampling,partition,ft,arch,legacy_drop_last,protocol,seed,best_val,acc,bacc,f1,macro,train_macro,rounds,best_round,acc_json,bacc_json,f1_json,n_changed_predictions,acc_shift_pp,recall_LUAD,recall_PAAD
mu,ResNet50,bbf78dce98d2,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,2,0.4355555772781372,0.4255492270138324,0.2103821451509313,0.12801251956181534,0.31572907164220165,0.31572907164220165,100.0,42,0.4255492270138324,0.2103821451509313,0.12799991070033265,1,0.0,0.0,0.0
mu,ResNet50,ca4eb7a1be2a,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,0,0.3199999928474426,0.28152969894222946,0.1111111111111111,0.04881834215167549,0.18691588785046728,0.18691588785046728,100.0,25,0.28152969894222946,0.1111111111111111,0.04881834215167549,0,0.0,0.0,0.0
mu,ResNet50,e27a00edeece,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,4,0.4866666793823242,0.4751830756712775,0.25451965655951053,0.21038176583007034,0.33303860125378915,0.33303860125378915,100.0,38,0.4743694060211554,0.2541985261805767,0.21016990406637945,1,0.08136696501220841,0.0,0.0
mu,ResNet50,e9b0540e4292,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,2,0.5688889026641846,0.532139951179821,0.29290893418517394,0.2170527456265525,0.38251137623968356,0.38251137623968356,176.0,126,0.5337672904800651,0.29404928506236694,0.2178526766193979,4,-0.16273393002440573,0.0,0.0
mu,ResNet50,e9c2369013d2,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,3,0.40222224593162537,0.3352318958502848,0.1549809011932529,0.10195488182909566,0.2088158401587105,0.2088158401587105,100.0,47,0.3441822620016273,0.16194097961667173,0.10661313585774868,25,-0.8950366151342537,0.0,0.0
mu,ResNet50,ed23c8a8cb16,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,3,0.42000001668930054,0.40602115541090317,0.19657996146435452,0.14001409611165708,0.30035210384835026,0.30035210384835026,181.0,131,0.40683482506102525,0.19713551701991008,0.14022782728308092,2,-0.08136696501220841,0.0,0.0
mu,UNI_v2,12fe0e58cfdf,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,1,0.846666693687439,0.8234336859235151,0.7124054126140851,0.7053340259999891,0.7771005923203005,0.7771005923203005,127.0,77,0.8234336859235151,0.7124054126140851,0.7051139833150435,1,0.0,0.975,0.0
mu,UNI_v2,1ef6099a08bd,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,0,0.902222216129303,0.8576078112286412,0.7676459828409005,0.7835922410653872,0.8214249634851373,0.8214249634851373,354.0,304,0.8576078112286412,0.7676459828409005,0.7835922410653872,0,0.0,0.9916666666666667,0.0975609756097561
mu,UNI_v2,353072a6e938,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,1,0.8533333539962769,0.8315703824247356,0.7460191717889693,0.7221122325304257,0.7987852758634855,0.7987852758634855,162.0,112,0.8315703824247356,0.7460191717889693,0.7221122325304257,0,0.0,0.975,0.0
mu,UNI_v2,3708e39faff6,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,2,0.9355555772781372,0.8893409275834011,0.828077340090476,0.8417146389589575,0.8642578758376429,0.8642578758376429,406.0,356,0.8893409275834011,0.828077340090476,0.8417146389589575,0,0.0,0.9916666666666667,0.2926829268292683
