fm,n,val,acc,acc_sd,bacc,bacc_sd,f1,f1_sd,macro,macro_sd,train_macro,rounds,best_round,total_steps,n_params,keys,optimizer,rank_all,rank_no_known_tcga,vs_best_diff,vs_best_lo,vs_best_hi,vs_best_lo_pat,vs_best_hi_pat,vs_best_seed_diff_mean,vs_best_seed_diff_sd,vs_best_seed_t_lo,vs_best_seed_t_hi
Midnight12k,5,0.8728888988494873,0.861513425549227,0.025545858095716124,0.8477547797727004,0.028156320391836853,0.8528780270824912,0.027665408862200237,0.8580861391817415,0.026559400698666472,,238.8,188.8,7382.4,6425609,030793e6a252;07bdbb0c4dfd;2716dff5dc01;9c1d06d9eaa3;edaf08d32ad7,adam_sel,4,,-0.07030105777054507,-0.10708633494093985,-0.026825099528155254,-0.08996225286709345,-0.050031382189430255,-0.07030105777054514,0.052589125630928504,-0.1355990817634839,-0.0050030337776064
UNI_v2,5,0.86977778673172,0.8454027664768103,0.04446985654008044,0.7562347408939366,0.08166746112248142,0.7425052919770574,0.10167820520196688,0.8030639647994524,0.060308723793413906,,230.4,180.2,7109.4,6425609,6ce3c5432eeb;8d8d2878a809;a6c061172214;aa4a4692692e;eca6c6c48cc9,adam_sel,5,3,-0.08641171684296167,-0.13851489289930838,-0.0363695819544268,-0.10562807639364087,-0.06732501596933872,-0.08641171684296174,0.07393522003569886,-0.17821441776056263,0.0053909840746391435
CTransPath,5,0.7288889169692994,0.701220504475183,0.08976845216659436,0.4944635160260507,0.13642903139971904,0.4454391787872341,0.1574058619918036,0.5895597685509771,0.1275409195007345,,187.2,127.8,5792.0,3279881,2a4d4dd08651;5d65d0ff9423;7e7d49b9fe39;91decd71d136;b2d74d7c2571,adam_sel,6,,-0.2307567127746134,-0.31175186267310934,-0.14438141420361236,-0.2552266169154227,-0.20557225711840088,-0.23075671277461351,0.10296152732725006,-0.35860033445693296,-0.1029130910922941
ResNet50,5,0.36622223258018494,0.3358828315703824,0.05357691825096974,0.15167900483385727,0.03805971213791256,0.08870491263010018,0.03154403494736935,0.23258632944130478,0.049937091938936945,,110.6,52.6,3406.8,4328457,067a3419309c;091928446a9e;18e6cd33ace3;4bfc9890faa7;6d80ac1e6e47,adam_sel,7,4,-0.5973962571196094,-0.6558131279245688,-0.53623701739524,-0.6266305642700821,-0.5680175289011232,-0.5973962571196094,0.04946482444699524,-0.6588149488129128,-0.535977565426306
Phikon_v2,5,0.9737778067588806,0.9516680227827502,0.0053231659019678185,0.952452854612129,0.005153938226737864,0.9502021317162146,0.005411365084681085,0.9489548247414291,0.009373064455104605,,343.2,293.2,10622.4,4328457,145713ae933a;147a9a78c8f7;49aba1d81e76;a38007210553;be3156d883bd,sgd,1,,0.0,-0.006866878320346775,0.007011832586474422,0.0,0.0,0.0,0.0,0.0,0.0
UNI_v2,5,0.9506666779518127,0.9337672904800651,0.018930719942343667,0.9322447834365472,0.02046563154221722,0.924554649302547,0.0216655450341921,0.934267979934203,0.018619875842496126,,350.0,300.0,10831.8,6425609,3635bafca89f;65f26d812bf2;a3a4f5ba13cc;c6c46da1a506;fe2bfd04e808,sgd,2,1,-0.017900732302685074,-0.037462606400797585,0.00016905435441486887,-0.029790874549927328,-0.00672374119102691,-0.017900732302685095,0.016425247549378658,-0.03829537084633318,0.0024939062409629897
Conch_v15,5,0.953777813911438,0.9183075671277461,0.003927589385239076,0.9089713612749831,0.008484194768505014,0.9066426328865141,0.005639879748974753,0.9231851414699858,0.006870871982218934,,279.2,229.2,8662.0,3279881,0c2c8c4c6dd2;20e72e852dab;47e0b95494d2;6692ec28e1ef;d719dd7ec191,sgd,3,2,-0.03336045565500412,-0.04914980350248209,-0.017433137871853424,-0.047271458838271274,-0.019493445164972315,-0.0333604556550041,0.007163066257794552,-0.042254577144055755,-0.02446633416595244
Virchow2,5,0.9320000290870667,0.9074043938161107,0.03639478039319856,0.9005421629826955,0.054644582688073616,0.891947787355017,0.05519373995785023,0.910330400561907,0.03007800336281321,,277.0,226.0,8565.8,10619913,3deb92923938;4a5dd57c803f;4c1873b60972;532e142c67db;952a520473a1,sgd,4,3,-0.044100895036615184,-0.07711156869285597,-0.015553763440860107,-0.057364389233954406,-0.031004948509125867,-0.044100895036615115,0.039391192373522406,-0.09301152045313657,0.004809730379906334
Midnight12k,5,0.9040000200271606,0.8846216436126932,0.006645245561951301,0.8875402035754718,0.006337798060288579,0.882964822544302,0.007922693171884569,0.8975778690705072,0.008099901676041658,,349.2,299.2,10823.4,6425609,3208a61d054e;a778509b44f2;bd9b8001bcb1;f1350014be06;f512c096be38,sgd,5,,-0.06704637917005696,-0.08830974214528174,-0.046353322528363314,-0.0872472620622765,-0.047739620489158925,-0.06704637917005696,0.0016872612980738614,-0.06914139077943782,-0.0649513675606761
CTransPath,5,0.8595555782318115,0.8424735557363711,0.04793612360222527,0.7994174287784632,0.08642454152317265,0.7806846948140617,0.09006518450058713,0.8224974748455564,0.06009030374300137,,228.2,178.0,7055.8,3279881,515678dff49e;a6b60c9a7fb5;dfeb9da05975;f810e31364fd;ff7e5dab2ad7,sgd,6,,-0.10919446704637914,-0.15187873964510262,-0.07026330287929099,-0.12679001330365597,-0.091207738095238,-0.10919446704637917,0.05278327136585085,-0.17473355480877578,-0.04365537928398254
