diff,lo,hi,lo_pat,hi_pat,seed_diff_mean,seed_diff_sd,seed_t_lo,seed_t_hi,n_seed_pairs,fm,optimizer,algorithm
-0.4161106590724166,-0.45592128451437924,-0.37649140827314176,,,,,,,,MEAN_PATHOLOGY,adam_sel,FedBN
-0.011228641171684317,-0.03617196843853833,0.012006193320061987,-0.0156599992978022,-0.006770809205546026,-0.011228641171684295,0.034460614792346536,-0.054017145915309074,0.03155986357194048,5.0,UNI_v2,sgd,FedProx
-0.008624898291293648,-0.04291839625546619,0.026494637678338515,-0.014501214061089415,-0.003347140515165232,-0.008624898291293759,0.04747816443628438,-0.06757682577262639,0.05032702919003887,5.0,Virchow2,sgd,FedProx
-0.00016273393002441683,-0.007460016816300549,0.006533322042509908,-0.0008039071021967437,0.00033644554690858124,-0.00016273393002441683,0.00036388412978029006,-0.0006145557534903091,0.0002890878934414755,5.0,Phikon_v2,sgd,FedProx
-0.003905614320585782,-0.015094722805511699,0.005629539628284547,-0.008082569112884307,0.00016543625956265957,-0.003905614320585804,0.009530708194855214,-0.015739551563523108,0.007928322922351499,5.0,Conch_v15,sgd,FedProx
-0.003742880390561476,-0.05336692924361023,0.04905409988243513,-0.013519239925687413,0.006265705229452861,-0.003742880390561432,0.06471769016517039,-0.08410050631555932,0.07661474553443645,5.0,CTransPath,sgd,FedProx
0.00032546786004883366,-0.00807608782919777,0.00929215535121025,-0.0008424955299855319,0.001598721023181482,0.00032546786004881143,0.0009277261392181996,-0.0008264562872110003,0.001477392007308623,5.0,Midnight12k,sgd,FedProx
-0.028966639544344974,-0.08307184145334434,0.017449672849579583,-0.03653133042771468,-0.021018630573248296,-0.028966639544344953,0.06727576943502885,-0.11250054040327745,0.05456726131458755,5.0,ResNet50,sgd,FedProx
-0.004556550040683467,-0.015698335062421135,0.006621670412370314,,,,,,,,MEAN_PATHOLOGY,sgd,FedProx
-0.02912937347436939,-0.05080938903757581,-0.009686917741605312,-0.040783701316284796,-0.01930611258710222,-0.029129373474369412,0.024009459831502728,-0.058941055363465764,0.0006823084147269363,5.0,UNI_v2,sgd,SCAFFOLD
-0.004882017900732283,-0.03323400426552917,0.02813447680608024,-0.014064124903746181,0.0037311663495775338,-0.004882017900732305,0.03332570775634236,-0.04626134943644255,0.03649731363497794,5.0,Virchow2,sgd,SCAFFOLD
-0.0170870626525631,-0.02780251883041298,-0.007336443381180061,-0.025533784385293256,-0.009339225284750832,-0.017087062652563056,0.004915803894871647,-0.02319083937105502,-0.01098328593407109,5.0,Phikon_v2,sgd,SCAFFOLD
-0.015947925142392183,-0.03126205673758853,-0.0034649057258698867,-0.023417570764877,-0.00845271950949016,-0.015947925142392162,0.011573002808038468,-0.030317706080244596,-0.0015781442045397307,5.0,Conch_v15,sgd,SCAFFOLD
0.022782750203417357,-0.015028996184215545,0.06596773287300316,0.011068101202288242,0.03417195481539932,0.022782750203417402,0.05227787926512288,-0.042128810382528734,0.08769431078936353,5.0,CTransPath,sgd,SCAFFOLD
-0.021969080553295384,-0.03713852434455882,-0.007922303544354315,-0.03452540109419193,-0.009469319709248558,-0.02196908055329534,0.0023722342940786156,-0.024914598471557078,-0.0190235626350336,5.0,Midnight12k,sgd,SCAFFOLD
-0.04768104149715213,-0.20539166139448645,0.09274477661293451,-0.061014469754467726,-0.034257808715432096,-0.04768104149715213,0.1639616019043627,-0.251266259669617,0.15590417667531276,5.0,ResNet50,sgd,SCAFFOLD
-0.011038784919989164,-0.021584151423487175,-0.0002115743169885844,,,,,,,,MEAN_PATHOLOGY,sgd,SCAFFOLD
0.05972335231895842,0.03894819073500517,0.08520173833094143,0.04520365968617736,0.07587407971241615,0.059723352318958464,0.021010960809216498,0.03363479871448411,0.08581190592343282,5.0,UNI_v2,sgd,FedBN
0.08234336859235158,0.05011983261611293,0.12016351271437012,0.06471601710133815,0.10056909619681008,0.08234336859235147,0.030560851479410765,0.04439705955591488,0.12028967762878806,5.0,Virchow2,sgd,FedBN
0.025061025223759192,0.0016281085253064432,0.04696623151302302,0.009959839357429723,0.04102399383365433,0.02506102522375917,0.019683407146243823,0.0006208472082815247,0.04950120323923682,5.0,Phikon_v2,sgd,FedBN
0.06834825061025229,0.047773228276747404,0.08987867679148102,0.049277387033078136,0.08900019184915149,0.06834825061025226,0.010886157982310537,0.05483130016485874,0.08186520105564579,5.0,Conch_v15,sgd,FedBN
0.14353132628152965,0.09927442884198664,0.19448656015037596,0.11836502601040413,0.16986093515600584,0.1435313262815297,0.04779088534142986,0.08419110451079223,0.20287154805226718,5.0,CTransPath,sgd,FedBN
-0.020504475183075632,-0.16261948166919143,0.1074363015415466,-0.042943301909422346,0.0027827504053473426,-0.020504475183075653,0.1748229410632399,-0.23757582716139913,0.1965668767952478,5.0,Midnight12k,sgd,FedBN
0.3542717656631408,0.3074210904817449,0.4016596321977693,0.32285894783096075,0.3865396222880986,0.3542717656631408,0.044768840616732315,0.29868390802802186,0.4098596232982597,5.0,ResNet50,sgd,FedBN
0.05975047464062925,0.031134892358092955,0.08760428005106499,,,,,,,,MEAN_PATHOLOGY,sgd,FedBN
