cancer,fm,mode,lr,val,c
COAD,UNI_v2,fl_legacy_restore,0.0003,-1.0,0.5133802816901408
COAD,Virchow2,central,0.0001,0.7568862275449102,0.6149295774647887
COAD,Virchow2,central,0.0003,0.7712574850299401,0.6091549295774648
COAD,Virchow2,central,0.001,0.792814371257485,0.6219718309859156
COAD,Virchow2,central_legacy,0.0003,-1.0,0.5784507042253522
COAD,Virchow2,central_strat,0.0001,0.7173652694610778,0.47126760563380277
COAD,Virchow2,central_strat,0.0003,0.7125748502994012,0.4708450704225352
COAD,Virchow2,central_strat,0.001,0.725748502994012,0.45577464788732397
COAD,Virchow2,fl,0.0001,0.6934131736526946,0.4898591549295775
COAD,Virchow2,fl,0.0003,0.6970059880239521,0.46436619718309863
COAD,Virchow2,fl,0.001,0.7137724550898203,0.4701408450704225
COAD,Virchow2,fl_legacy_restore,0.0003,-1.0,0.5383098591549296
STAD,CTransPath,central,0.0001,0.6538205980066445,0.6079173838209984
STAD,CTransPath,central,0.0003,0.6584717607973423,0.6078026391279403
STAD,CTransPath,central,0.001,0.6571428571428571,0.6078026391279403
STAD,CTransPath,central_legacy,0.0003,-1.0,0.5930005737234654
STAD,CTransPath,central_strat,0.0001,0.6166112956810632,0.6087205966724039
STAD,CTransPath,central_strat,0.0003,0.6225913621262459,0.6089500860585197
STAD,CTransPath,central_strat,0.001,0.6332225913621262,0.6165232358003443
STAD,CTransPath,fl,0.0001,0.5913621262458472,0.5947217441193345
STAD,CTransPath,fl,0.0003,0.5960132890365448,0.5963281698221458
STAD,CTransPath,fl,0.001,0.6106312292358804,0.6030981067125646
STAD,CTransPath,fl_legacy_restore,0.0003,-1.0,0.5115318416523236
STAD,Conch_v15,central,0.0001,0.6392026578073089,0.6252438324727482
STAD,Conch_v15,central,0.0003,0.6491694352159468,0.6261617900172117
STAD,Conch_v15,central,0.001,0.6544850498338871,0.6121629374641422
STAD,Conch_v15,central_legacy,0.0003,-1.0,0.519162363740677
STAD,Conch_v15,central_strat,0.0001,0.6664451827242525,0.6158347676419965
STAD,Conch_v15,central_strat,0.0003,0.6744186046511628,0.6126219162363741
STAD,Conch_v15,central_strat,0.001,0.693687707641196,0.5967871485943774
STAD,Conch_v15,fl,0.0001,0.6491694352159468,0.62122776821572
STAD,Conch_v15,fl,0.0003,0.653156146179402,0.6238668961560527
STAD,Conch_v15,fl,0.001,0.6691029900332226,0.619162363740677
STAD,Conch_v15,fl_legacy_restore,0.0003,-1.0,0.5173838209982788
STAD,Midnight12k,central,0.0001,0.5089700996677741,0.5337923121055651
STAD,Midnight12k,central,0.0003,0.5215946843853821,0.5327596098680436
STAD,Midnight12k,central,0.001,0.5435215946843854,0.5232358003442341
STAD,Midnight12k,central_legacy,0.0003,-1.0,0.5343086632243259
STAD,Midnight12k,central_strat,0.0001,0.4558139534883721,0.5530694205393001
STAD,Midnight12k,central_strat,0.0003,0.453156146179402,0.5440045897877224
STAD,Midnight12k,central_strat,0.001,0.4980066445182724,0.5289156626506024
STAD,Midnight12k,fl,0.0001,0.467109634551495,0.5483648881239243
STAD,Midnight12k,fl,0.0003,0.45182724252491696,0.5452667814113598
